algo,settings,numeric_type,problem,optval,elapsed_seconds,warnings,errors
MISDP,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,BB84(2),NaN,NaN,false,false
MISDP,"Pajarito(SCS, Cbc, MSD=false)",Float64,BB84(2),NaN,NaN,false,false
SDP,Mosek,Float64,BB84(2),NaN,NaN,false,true
dual_SDP,Mosek,Float64,BB84(2),NaN,NaN,false,true
guesswork_upper_bound(max_time=20),Mosek,Float64,BB84(2),3.7811860979433263,27.7171467,false,false
guesswork_upper_bound(max_time=60),Mosek,Float64,BB84(2),3.771192992150866,66.469113,false,false
guesswork_upper_bound(max_time=240),Mosek,Float64,BB84(2),3.7682775167884057,133.8114008,false,false
SDP,SCS,Float64,BB84(2),NaN,NaN,false,true
dual_SDP,SCS,Float64,BB84(2),NaN,NaN,false,true
guesswork_upper_bound(max_time=20),SCS,Float64,BB84(2),3.779617362857275,28.760714,false,false
guesswork_upper_bound(max_time=60),SCS,Float64,BB84(2),3.7715124469415007,70.5699564,false,false
guesswork_upper_bound(max_time=240),SCS,Float64,BB84(2),3.768213428570261,177.6444008,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qutrits(2),NaN,NaN,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qutrits(2),NaN,NaN,false,false
MISDP,"Pajarito(SCS, Cbc, MSD=false)",Float64,2qutrits(2),NaN,NaN,false,false
SDP,Mosek,Float64,2qutrits(2),1.7368579207940624,9.2295285,false,false
dual_SDP,Mosek,Float64,2qutrits(2),1.7368579132221822,8.8348357,false,false
guesswork_upper_bound(max_time=20),Mosek,Float64,2qutrits(2),NaN,NaN,false,false
guesswork_upper_bound(max_time=60),Mosek,Float64,2qutrits(2),NaN,NaN,false,false
guesswork_upper_bound(max_time=240),Mosek,Float64,2qutrits(2),NaN,NaN,false,false
SDP,SCS,Float64,2qutrits(2),1.7368580657916646,11.2161223,false,false
dual_SDP,SCS,Float64,2qutrits(2),1.7368575755119444,9.1961901,false,false
guesswork_upper_bound(max_time=20),SCS,Float64,2qutrits(2),1.7554742953569498,101.0598171,false,false
guesswork_upper_bound(max_time=60),SCS,Float64,2qutrits(2),1.7578147992900353,32.9359894,false,false
guesswork_upper_bound(max_time=240),SCS,Float64,2qutrits(2),1.7583289930168684,22.6860797,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qutrits(2),NaN,NaN,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qutrits(2),NaN,NaN,false,false
MISDP,"Pajarito(SCS, Cbc, MSD=false)",Float64,3qutrits(2),NaN,NaN,false,false
SDP,Mosek,Float64,3qutrits(2),NaN,NaN,false,false
dual_SDP,Mosek,Float64,3qutrits(2),NaN,NaN,false,false
guesswork_upper_bound(max_time=20),Mosek,Float64,3qutrits(2),NaN,NaN,false,false
guesswork_upper_bound(max_time=60),Mosek,Float64,3qutrits(2),NaN,NaN,false,false
guesswork_upper_bound(max_time=240),Mosek,Float64,3qutrits(2),NaN,NaN,false,false
SDP,SCS,Float64,3qutrits(2),NaN,NaN,false,false
dual_SDP,SCS,Float64,3qutrits(2),NaN,NaN,false,false
guesswork_upper_bound(max_time=20),SCS,Float64,3qutrits(2),2.6455718400755233,84.4330259,false,false
guesswork_upper_bound(max_time=60),SCS,Float64,3qutrits(2),2.639131319680283,155.5140639,false,false
guesswork_upper_bound(max_time=240),SCS,Float64,3qutrits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qubits(1),1.2549350503546497,22.9851179,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qubits(1),1.2549350503546497,23.6271632,false,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,2qubits(1),1.2549359025427322,23.4738548,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qubits(1),1.531583578752242,23.1706345,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qubits(1),1.5315835787522418,23.630824,false,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,3qubits(1),1.5315876003496776,27.1068016,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,Y(1),1.4226497495723145,23.2142919,true,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,Y(1),1.4226497297957217,23.5631458,true,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,Y(1),1.422648765315336,26.1466155,false,true
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,BB84(1),1.7094305955725198,25.0106493,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,BB84(1),1.7094305955725198,23.5142924,false,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,BB84(1),1.7094293534710712,73.8001398,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qutrits(1),1.255145017108577,23.3100727,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qutrits(1),1.255145017108577,23.596305,false,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,2qutrits(1),1.2551468576010365,24.7745932,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qutrits(1),1.4710364763587662,26.4991661,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qutrits(1),1.4710364763587662,24.4914356,false,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,3qutrits(1),1.4710321441071241,95.0050658,false,true
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qubits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qubits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,2qubits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qubits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qubits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,3qubits(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,Y(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,Y(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(SCS, Cbc, MSD=false)",Float64,Y(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,BB84(2),NaN,NaN,false,false
MISDP_dB,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,BB84(2),NaN,NaN,false,false
